"";"RBC";"CBC";"PFC";"CCC";"CCM";"RBT";"CBT";"PFT";"CCT";"RBO";"CBO";"PFO";"CCO"
"2014";-0,040131990946511;-0,102667909874743;-0,0489075152318637;0,0295391375494906;0,000878280360031703;0,000137742949105399;0,000759281803309771;0,00897000679674719;-0,01261865881161;-0,012592509708449;-0,00363285160964703;-0,132701978358971;-0,000176257462237057
"2013";-0,0154794552174547;-0,0271218536750402;0,0204590313895809;0,0450164137769471;0,000713118213804026;-0,0117649950949653;-0,00860292546788208;0,0455497107140824;0,0264235939047724;-0,00970220408825431;-0,00270409165757668;-0,024996604255135;-0,000445744460264853
"2012";-0,00600935190215032;-0,0166604021860051;0,0299291347048853;0,00336044145887699;0,00047532056325722;-0,0107087541455975;-0,00413486563371585;0,0466059516634502;-0,00861837719999169;-0,0114910311449419;-0,00292207968718481;-0,0267854313118226;-0,00111400030166549
"2011";0,00435398739832213;0,00122143533562754;0,0402924740053578;-0,0189691567756349;-0,00176972817280962;-0,00365625652736514;-0,00118921265974885;0,0536584492816826;-0,0157839054049056;-0,0073092083789761;-0,00197501031485933;-0,0226036085458568;-0,00295060181544042
"2010";0,00487685637624903;0,00301487063684817;0,0408153429832846;0,00160524223485599;-0,0034539953448764;-0,00636105226267317;-0,00155930589876279;0,0509536535463745;-0,00470257288473597;-0,00984739910442117;-0,00225896832215104;-0,0251417992713019;-0,00353108537049899
"2009";0,00307940355562341;0,00095392093244694;0,039017890162659;-0,00383924184498566;-0,00371460270263387;-0,00860623201741268;0,000614583982041563;0,048708473791635;0,00693209936706046;-0,0107693030133455;-0,0024041145699352;-0,0260637031802262;-0,00401657981470398
"2008";0,0154140550234514;0,00435875662156764;0,0513525416304871;-0,015580701642284;-0,0215135029945781;0,00719424790771688;0,00341851535135801;0,0645089537167646;-0,0115945883388801;-0,0106567665256826;-0,00274892444203514;-0,0259511666925633;-0,00615967840536511
